startId:START_ID,endId:END_ID,type:TYPE,indicator
6521,6840,Constraint,by
6521,6840,Action,borrowing
6840,2976,Constraint,of
6840,2976,Action,object oriented
2976,668,Conjunctive,and
668,4938,Constraint,like
4938,760,Conjunctive,and
760,4774,Constraint,to
760,7367,Attribute,model
4774,6465,Conjunctive,and
4774,6465,Action,Object oriented
6465,5571,Conjunctive,and
5571,6465,Sequential,
6465,5358,Action,enable
5358,5800,Constraint,to
5358,5800,Action,be effectively managed
5571,6465,Action,oriented
6465,5571,Conjunctive,and
5571,6465,Sequential,
6465,5995,Sequential,
5995,3854,Constraint,in
5995,3854,Action,emerge
5995,3854,Action,Web based
1853,1685,Constraint,to
1853,1685,Constraint,in
1853,1685,Conjunctive,and
1853,2060,Attribute,be managed
1853,1685,Action,content based
6832,2865,Conjunctive,and
2865,6148,Sequential,
6148,6288,Sequential,
6288,4469,Constraint,for
6288,7034,Attribute,is
6288,3907,Attribute,storing
4469,6101,Sequential,
4268,7780,Constraint,on
4268,7780,Action,based
7780,750,Sequential,
750,1880,Constraint,to
750,1880,Action,are needed
750,1880,Action,discover
1880,7780,Constraint,in
7780,994,Sequential,
994,7722,Conjunctive,and
6288,6540,Constraint,in
6288,6540,Action,is limited
6540,1441,Constraint,to
6540,1441,Action,meet
1441,561,Constraint,of
561,3433,Constraint,in
3433,1853,Sequential,
1853,2046,Attribute,are
577,6288,Sequential,
6288,6042,Constraint,in
6288,793,Attribute,is
6042,7125,Constraint,on
7062,6588,Constraint,on
7062,6588,Constraint,on
6588,1657,Action,realizes
1657,5470,Constraint,from
5470,1272,Conjunctive,and
1272,2748,Constraint,of
2748,3523,Constraint,onto
3523,4027,Constraint,by
3523,4027,Action,establishing
4027,3523,Constraint,on
5121,397,Constraint,up
5121,397,Conjunctive,or
397,3854,Sequential,
3854,1272,Action,can operate
1272,7299,Action,according to
7299,6069,Conjunctive,and
6069,49,Constraint,of
5189,1855,Constraint,on
1855,393,Attribute,is
5121,241,Constraint,to
5121,241,Action,browse
241,5366,Constraint,by
5374,6495,Action,establish
6495,241,Constraint,on
241,1855,Constraint,on
241,1855,Action,distributed
1855,241,Constraint,by
1855,241,Conjunctive,and
1855,241,Action,collecting
1855,241,Action,classifying
241,2964,Action,according to
2964,241,Conjunctive,and
2964,241,Action,recommending
241,2040,Action,sharing
2040,2964,Constraint,of
2964,2211,Action,according to
3256,1739,Sequential,
2062,7062,Constraint,of
7062,6588,Constraint,on
6588,7062,Conjunctive,and
7062,1855,Constraint,on
1855,474,Action,implicates
474,7062,Constraint,of
982,725,Constraint,of
725,6048,Sequential,
6048,4231,Constraint,of
4231,3241,Constraint,of
3241,5745,Constraint,on
5745,427,Action,becomes
3497,191,Attribute,be
4231,7299,Sequential,
4231,5332,Constraint,of
5332,785,Conjunctive,and
5332,7179,Attribute,is
785,3666,Constraint,for
785,3666,Constraint,among
785,6150,Attribute,is
785,3666,Action,sharing
7461,7437,Action,can reflect
7762,4126,Action,often use
4126,5158,Constraint,to
4126,5158,Action,manage
5158,4843,Constraint,in
658,4193,Sequential,
4193,1859,Constraint,into
4193,1859,Action,are organized
1859,4793,Action,according to
4793,4193,Sequential,
7472,1549,Action,classify
1549,4398,Sequential,
4398,1751,Sequential,
1751,3705,Conjunctive,and
3705,1379,Constraint,into
1379,5646,Action,according to
5646,4231,Conjunctive,and
1526,1882,Constraint,by
1526,1882,Action,can be classified
1882,4663,Constraint,as
1882,4663,Constraint,in
1882,4663,Action,shown
4663,3073,Constraint,of
1180,855,Action,constitute
855,1526,Constraint,over
1526,6831,Constraint,as
1526,6831,Constraint,in
1526,6831,Action,shown
6831,3073,Constraint,of
2609,2553,Action,where represents
2553,4126,Constraint,of
7461,1033,Attribute,is
4827,7859,Sequential,
7859,1781,Conjunctive,and
6625,2748,Constraint,to
6625,2748,Action,refer
2748,4355,Constraint,of
6712,6364,Action,include
6364,601,Sequential,
601,3595,Conjunctive,and
3595,3964,Sequential,
3964,148,Sequential,
148,1880,Sequential,
1880,5626,Conjunctive,and
971,5310,Sequential,
7859,6625,Constraint,from
7859,6625,Action,can be generated
7859,6625,Action,understanding
6625,5595,Conjunctive,or
1781,773,Constraint,to
1781,773,Action,refer
773,185,Constraint,for
773,185,Action,performing
185,874,Action,solving
874,1330,Conjunctive,or
1330,4827,Sequential,
4827,6712,Conjunctive,or
7630,7177,Sequential,
7177,2808,Constraint,of
99,4406,Action,aspect
4406,7468,Constraint,of
7468,5121,Constraint,in
7468,5121,Action,displayed
5121,7882,Sequential,
7582,6742,Sequential,
6742,2676,Constraint,on
6742,2676,Action,based
2676,4214,Constraint,like
4214,6067,Sequential,
6067,53,Conjunctive,and
2685,3062,Action,aspect
3062,2685,Action,including
2685,5184,Constraint,of
5184,6498,Sequential,
6498,7163,Conjunctive,and
2439,1613,Action,require
1613,4792,Constraint,to
1613,4792,Action,help
1613,4792,Constraint,to
1613,4792,Action,help
7303,6365,Conjunctive,and
4378,4777,Attribute,is
4777,6172,Sequential,
6172,2040,Sequential,
2040,3653,Conjunctive,and
1387,4777,Constraint,in
1387,4777,Action,are labeled
4777,6748,Constraint,as
6748,7527,Constraint,of
7527,5048,Constraint,while
5048,2064,Constraint,by
